table_source;colonne_source;type_source;decision_table;table_cible;colonne_cible;decision_colonne;regle_migration;raison_detaillee;impact_fonctionnel;prerequis_controle;niveau_confiance;classification_audit_initiale;recommandation_audit_initiale;source_decision
ListeCR;CodeAdherent;NVARCHAR(100);REDUIRE_ET_RENOMMER;archive_migration;liste_cr_codeadherent;ARCHIVER_PUIS_SUPPRIMER;"Exporter la valeur dans une table/fichier d’archive ; ne pas charger dans le schéma opérationnel V2.";Attribut hérité non nécessaire aux écrans confirmés et source de colonnes souvent vides.;"Aucun impact sur les écrans PICUP validés ; impact possible pour un consommateur externe.";Confirmer absence d’usage API, BI, scripts ou exports externes.;MOYENNE;Aucun usage métier confirmé;Candidate à suppression après validation fonctionnelle;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
ListeCR;CaisseRegional;NVARCHAR(255);REDUIRE_ET_RENOMMER;caisse_regionale;nom;RENOMMER_CORRIGER;Corriger orthographe, accents et variantes avant insertion.;Nom homogène dans tris, filtres et cartes.;Aucun impact écran si le mapping applicatif est adapté.;Valider en recette fonctionnelle.;ÉLEVÉE;Utilisée ou nécessaire à une table utilisée;Conserver;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
ListeCR;CodeMnemonique;NVARCHAR(100);REDUIRE_ET_RENOMMER;caisse_regionale;code_mnemonique;RENOMMER;Copie après dédoublonnage.;Conserver seulement si utilisé par l’API ou les écrans.;Aucun impact écran si le mapping applicatif est adapté.;Valider en recette fonctionnelle.;ÉLEVÉE;Aucun usage métier confirmé;Candidate à suppression après validation fonctionnelle;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
ListeCR;CRPool;NVARCHAR(100);REDUIRE_ET_RENOMMER;archive_migration;liste_cr_crpool;ARCHIVER_PUIS_SUPPRIMER;"Exporter la valeur dans une table/fichier d’archive ; ne pas charger dans le schéma opérationnel V2.";Attribut hérité non nécessaire aux écrans confirmés et source de colonnes souvent vides.;"Aucun impact sur les écrans PICUP validés ; impact possible pour un consommateur externe.";Confirmer absence d’usage API, BI, scripts ou exports externes.;MOYENNE;Aucun usage métier confirmé;Candidate à suppression après validation fonctionnelle;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
ListeCR;Cooperation;NVARCHAR(100);REDUIRE_ET_RENOMMER;archive_migration;liste_cr_cooperation;ARCHIVER_PUIS_SUPPRIMER;"Exporter la valeur dans une table/fichier d’archive ; ne pas charger dans le schéma opérationnel V2.";Attribut hérité non nécessaire aux écrans confirmés et source de colonnes souvent vides.;"Aucun impact sur les écrans PICUP validés ; impact possible pour un consommateur externe.";Confirmer absence d’usage API, BI, scripts ou exports externes.;MOYENNE;Aucun usage métier confirmé;Candidate à suppression après validation fonctionnelle;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
ListeCR;Acronyme;NVARCHAR(100);REDUIRE_ET_RENOMMER;archive_migration;liste_cr_acronyme;ARCHIVER_PUIS_SUPPRIMER;"Exporter la valeur dans une table/fichier d’archive ; ne pas charger dans le schéma opérationnel V2.";Attribut hérité non nécessaire aux écrans confirmés et source de colonnes souvent vides.;"Aucun impact sur les écrans PICUP validés ; impact possible pour un consommateur externe.";Confirmer absence d’usage API, BI, scripts ou exports externes.;MOYENNE;Aucun usage métier confirmé;Candidate à suppression après validation fonctionnelle;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
ListeCR;PU;NVARCHAR(100);REDUIRE_ET_RENOMMER;archive_migration;liste_cr_pu;ARCHIVER_PUIS_SUPPRIMER;"Exporter la valeur dans une table/fichier d’archive ; ne pas charger dans le schéma opérationnel V2.";Attribut hérité non nécessaire aux écrans confirmés et source de colonnes souvent vides.;"Aucun impact sur les écrans PICUP validés ; impact possible pour un consommateur externe.";Confirmer absence d’usage API, BI, scripts ou exports externes.;MOYENNE;Aucun usage métier confirmé;Candidate à suppression après validation fonctionnelle;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
ListeCR;CodeBanque;NVARCHAR(50);REDUIRE_ET_RENOMMER;archive_migration;liste_cr_codebanque;ARCHIVER_PUIS_SUPPRIMER;"Exporter la valeur dans une table/fichier d’archive ; ne pas charger dans le schéma opérationnel V2.";Attribut hérité non nécessaire aux écrans confirmés et source de colonnes souvent vides.;"Aucun impact sur les écrans PICUP validés ; impact possible pour un consommateur externe.";Confirmer absence d’usage API, BI, scripts ou exports externes.;MOYENNE;Aucun usage métier confirmé;Candidate à suppression après validation fonctionnelle;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
ListeCR;CodeSociete;NVARCHAR(50);REDUIRE_ET_RENOMMER;archive_migration;liste_cr_codesociete;ARCHIVER_PUIS_SUPPRIMER;"Exporter la valeur dans une table/fichier d’archive ; ne pas charger dans le schéma opérationnel V2.";Attribut hérité non nécessaire aux écrans confirmés et source de colonnes souvent vides.;"Aucun impact sur les écrans PICUP validés ; impact possible pour un consommateur externe.";Confirmer absence d’usage API, BI, scripts ou exports externes.;MOYENNE;Aucun usage métier confirmé;Candidate à suppression après validation fonctionnelle;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
ListeCR;NomRemedy;NVARCHAR(255);REDUIRE_ET_RENOMMER;archive_migration;liste_cr_nomremedy;ARCHIVER_PUIS_SUPPRIMER;"Exporter la valeur dans une table/fichier d’archive ; ne pas charger dans le schéma opérationnel V2.";Attribut hérité non nécessaire aux écrans confirmés et source de colonnes souvent vides.;"Aucun impact sur les écrans PICUP validés ; impact possible pour un consommateur externe.";Confirmer absence d’usage API, BI, scripts ou exports externes.;MOYENNE;Aucun usage métier confirmé;Candidate à suppression après validation fonctionnelle;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
ListeCR;SIR_Origine;NVARCHAR(255);REDUIRE_ET_RENOMMER;archive_migration;liste_cr_sir_origine;ARCHIVER_PUIS_SUPPRIMER;"Exporter la valeur dans une table/fichier d’archive ; ne pas charger dans le schéma opérationnel V2.";Attribut hérité non nécessaire aux écrans confirmés et source de colonnes souvent vides.;"Aucun impact sur les écrans PICUP validés ; impact possible pour un consommateur externe.";Confirmer absence d’usage API, BI, scripts ou exports externes.;MOYENNE;Aucun usage métier confirmé;Candidate à suppression après validation fonctionnelle;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
ListeCR;NomPartition;NVARCHAR(255);REDUIRE_ET_RENOMMER;archive_migration;liste_cr_nompartition;ARCHIVER_PUIS_SUPPRIMER;"Exporter la valeur dans une table/fichier d’archive ; ne pas charger dans le schéma opérationnel V2.";Attribut hérité non nécessaire aux écrans confirmés et source de colonnes souvent vides.;"Aucun impact sur les écrans PICUP validés ; impact possible pour un consommateur externe.";Confirmer absence d’usage API, BI, scripts ou exports externes.;MOYENNE;Aucun usage métier confirmé;Candidate à suppression après validation fonctionnelle;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
ListeCR;NomCone;NVARCHAR(255);REDUIRE_ET_RENOMMER;archive_migration;liste_cr_nomcone;ARCHIVER_PUIS_SUPPRIMER;"Exporter la valeur dans une table/fichier d’archive ; ne pas charger dans le schéma opérationnel V2.";Attribut hérité non nécessaire aux écrans confirmés et source de colonnes souvent vides.;"Aucun impact sur les écrans PICUP validés ; impact possible pour un consommateur externe.";Confirmer absence d’usage API, BI, scripts ou exports externes.;MOYENNE;Aucun usage métier confirmé;Candidate à suppression après validation fonctionnelle;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
type_metier;id;BIGINT;CONSERVER;type_metier;id;CONSERVER;Copie directe avec contrôle d’unicité.;Clé/référence stable.;Aucun impact écran si le mapping applicatif est adapté.;Valider en recette fonctionnelle.;ÉLEVÉE;Utilisée ou nécessaire à une table utilisée;Conserver;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
type_metier;code;NVARCHAR(50);CONSERVER;type_metier;code;CONSERVER;Copie directe avec contrôle d’unicité.;Clé/référence stable.;Aucun impact écran si le mapping applicatif est adapté.;Valider en recette fonctionnelle.;ÉLEVÉE;Utilisée ou nécessaire à une table utilisée;Conserver;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
type_metier;libelle;NVARCHAR(150);CONSERVER;type_metier;libelle;CONSERVER;Copie directe après normalisation typographique.;Libellé de référentiel.;Aucun impact écran si le mapping applicatif est adapté.;Valider en recette fonctionnelle.;ÉLEVÉE;Utilisée ou nécessaire à une table utilisée;Conserver;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
type_metier;actif;BIT;CONSERVER;type_metier;est_actif;RENOMMER;Conversion BIT directe.;Convention booléenne explicite.;Aucun impact écran si le mapping applicatif est adapté.;Valider en recette fonctionnelle.;ÉLEVÉE;Utilisée ou nécessaire à une table utilisée;Conserver;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
metier;id;BIGINT;CONSERVER_ET_SIMPLIFIER;metier;id;CONSERVER;Copie directe avec contrôle FK et unicité.;Nécessaire aux métiers PU/PP.;Aucun impact écran si le mapping applicatif est adapté.;Valider en recette fonctionnelle.;ÉLEVÉE;Utilisée ou nécessaire à une table utilisée;Conserver;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
metier;code;NVARCHAR(50);CONSERVER_ET_SIMPLIFIER;metier;code;CONSERVER;Copie directe avec contrôle FK et unicité.;Nécessaire aux métiers PU/PP.;Aucun impact écran si le mapping applicatif est adapté.;Valider en recette fonctionnelle.;ÉLEVÉE;Utilisée ou nécessaire à une table utilisée;Conserver;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
metier;nom;NVARCHAR(150);CONSERVER_ET_SIMPLIFIER;metier;nom;CONSERVER;Copie directe avec contrôle FK et unicité.;Nécessaire aux métiers PU/PP.;Aucun impact écran si le mapping applicatif est adapté.;Valider en recette fonctionnelle.;ÉLEVÉE;Utilisée ou nécessaire à une table utilisée;Conserver;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
metier;type_metier_id;BIGINT;CONSERVER_ET_SIMPLIFIER;metier;type_metier_id;CONSERVER;Copie directe avec contrôle FK et unicité.;Nécessaire aux métiers PU/PP.;Aucun impact écran si le mapping applicatif est adapté.;Valider en recette fonctionnelle.;ÉLEVÉE;Utilisée ou nécessaire à une table utilisée;Conserver;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
metier;domaine;NVARCHAR(150);CONSERVER_ET_SIMPLIFIER;;;SUPPRIMER;"Ne pas migrer ; la catégorisation est déjà portée par type_metier_id.";Colonne redondante et non exploitée.;Aucun si les écrans utilisent type_metier.;Vérifier les exports historiques.;ÉLEVÉE;Aucun usage métier confirmé;Candidate à suppression après validation fonctionnelle;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
metier;actif;BIT;CONSERVER_ET_SIMPLIFIER;metier;est_actif;RENOMMER;Conversion directe.;Convention booléenne.;Aucun impact écran si le mapping applicatif est adapté.;Valider en recette fonctionnelle.;ÉLEVÉE;Utilisée ou nécessaire à une table utilisée;Conserver;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
metier;date_creation;DATETIME2(0);CONSERVER_ET_SIMPLIFIER;metier;cree_le;RENOMMER;Copie directe.;Audit homogène.;Aucun impact écran si le mapping applicatif est adapté.;Valider en recette fonctionnelle.;ÉLEVÉE;Utilisée ou nécessaire à une table utilisée;Conserver;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
metier;date_modification;DATETIME2(0);CONSERVER_ET_SIMPLIFIER;metier;modifie_le;RENOMMER;Copie directe.;Audit homogène.;Aucun impact écran si le mapping applicatif est adapté.;Valider en recette fonctionnelle.;ÉLEVÉE;Utilisée ou nécessaire à une table utilisée;Conserver;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
fabricant_type;id;BIGINT;RENOMMER;type_fabricant;id;RENOMMER_TABLE;Copie directe.;Nom de table français naturel.;Aucun impact écran si le mapping applicatif est adapté.;Valider en recette fonctionnelle.;ÉLEVÉE;Migration uniquement ou aucun usage métier confirmé;Candidate à archivage/suppression après vérification externe;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
fabricant_type;code;NVARCHAR(50);RENOMMER;type_fabricant;code;RENOMMER_TABLE;Copie directe.;Nom de table français naturel.;Aucun impact écran si le mapping applicatif est adapté.;Valider en recette fonctionnelle.;ÉLEVÉE;Migration uniquement ou aucun usage métier confirmé;Candidate à archivage/suppression après vérification externe;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
fabricant_type;libelle;NVARCHAR(150);RENOMMER;type_fabricant;libelle;RENOMMER_TABLE;Copie directe.;Nom de table français naturel.;Aucun impact écran si le mapping applicatif est adapté.;Valider en recette fonctionnelle.;ÉLEVÉE;Migration uniquement ou aucun usage métier confirmé;Candidate à archivage/suppression après vérification externe;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
fabricant_type;actif;BIT;RENOMMER;type_fabricant;est_actif;RENOMMER;Conversion directe.;Convention booléenne.;Aucun impact écran si le mapping applicatif est adapté.;Valider en recette fonctionnelle.;ÉLEVÉE;Migration uniquement ou aucun usage métier confirmé;Candidate à archivage/suppression après vérification externe;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
fabricant;id;BIGINT;CONSERVER_ET_NORMALISER;fabricant;id;CONSERVER;Copie directe avec nettoyage des doublons.;Référentiel utilisé.;Aucun impact écran si le mapping applicatif est adapté.;Valider en recette fonctionnelle.;ÉLEVÉE;Utilisée ou nécessaire à une table utilisée;Conserver;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
fabricant;fabricant_type_id;BIGINT;CONSERVER_ET_NORMALISER;fabricant;type_fabricant_id;RENOMMER;Remapper vers type_fabricant.id.;FK cohérente avec le renommage.;Aucun impact écran si le mapping applicatif est adapté.;Valider en recette fonctionnelle.;ÉLEVÉE;Utilisée ou nécessaire à une table utilisée;Conserver;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
fabricant;code;NVARCHAR(50);CONSERVER_ET_NORMALISER;fabricant;code;CONSERVER;Copie directe avec nettoyage des doublons.;Référentiel utilisé.;Aucun impact écran si le mapping applicatif est adapté.;Valider en recette fonctionnelle.;ÉLEVÉE;Utilisée ou nécessaire à une table utilisée;Conserver;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
fabricant;nom;NVARCHAR(200);CONSERVER_ET_NORMALISER;fabricant;nom;CONSERVER;Copie directe avec nettoyage des doublons.;Référentiel utilisé.;Aucun impact écran si le mapping applicatif est adapté.;Valider en recette fonctionnelle.;ÉLEVÉE;Utilisée ou nécessaire à une table utilisée;Conserver;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
fabricant;actif;BIT;CONSERVER_ET_NORMALISER;fabricant;est_actif;RENOMMER;Conversion directe.;Convention booléenne.;Aucun impact écran si le mapping applicatif est adapté.;Valider en recette fonctionnelle.;ÉLEVÉE;Utilisée ou nécessaire à une table utilisée;Conserver;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
fabricant;date_creation;DATETIME2(0);CONSERVER_ET_NORMALISER;fabricant;cree_le;RENOMMER;Copie directe.;Audit homogène.;Aucun impact écran si le mapping applicatif est adapté.;Valider en recette fonctionnelle.;ÉLEVÉE;Utilisée ou nécessaire à une table utilisée;Conserver;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
fabricant;date_modification;DATETIME2(0);CONSERVER_ET_NORMALISER;fabricant;modifie_le;RENOMMER;Copie directe.;Audit homogène.;Aucun impact écran si le mapping applicatif est adapté.;Valider en recette fonctionnelle.;ÉLEVÉE;Utilisée ou nécessaire à une table utilisée;Conserver;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
fabricant_filtre;id;BIGINT;SUPPRIMER;;;SUPPRIMER_AVEC_TABLE;"Ne pas migrer cette colonne ; archiver le contenu brut avant retrait définitif.";"Copie technique de fabricant destinée au filtrage ; le filtre doit interroger fabricant directement.";Suppression sans impact sur les écrans confirmés.;Vérifier absence de consommateur externe.;ÉLEVÉE;Migration uniquement ou aucun usage métier confirmé;Candidate à archivage/suppression après vérification externe;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
fabricant_filtre;libelle;NVARCHAR(255);SUPPRIMER;;;SUPPRIMER_AVEC_TABLE;"Ne pas migrer cette colonne ; archiver le contenu brut avant retrait définitif.";"Copie technique de fabricant destinée au filtrage ; le filtre doit interroger fabricant directement.";Suppression sans impact sur les écrans confirmés.;Vérifier absence de consommateur externe.;ÉLEVÉE;Migration uniquement ou aucun usage métier confirmé;Candidate à archivage/suppression après vérification externe;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
fabricant_filtre;source_type;NVARCHAR(32);SUPPRIMER;;;SUPPRIMER_AVEC_TABLE;"Ne pas migrer cette colonne ; archiver le contenu brut avant retrait définitif.";"Copie technique de fabricant destinée au filtrage ; le filtre doit interroger fabricant directement.";Suppression sans impact sur les écrans confirmés.;Vérifier absence de consommateur externe.;ÉLEVÉE;Migration uniquement ou aucun usage métier confirmé;Candidate à archivage/suppression après vérification externe;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
fabricant_filtre;source_id;BIGINT;SUPPRIMER;;;SUPPRIMER_AVEC_TABLE;"Ne pas migrer cette colonne ; archiver le contenu brut avant retrait définitif.";"Copie technique de fabricant destinée au filtrage ; le filtre doit interroger fabricant directement.";Suppression sans impact sur les écrans confirmés.;Vérifier absence de consommateur externe.;ÉLEVÉE;Migration uniquement ou aucun usage métier confirmé;Candidate à archivage/suppression après vérification externe;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
fabricant_filtre;actif;BIT;SUPPRIMER;;;SUPPRIMER_AVEC_TABLE;"Ne pas migrer cette colonne ; archiver le contenu brut avant retrait définitif.";"Copie technique de fabricant destinée au filtrage ; le filtre doit interroger fabricant directement.";Suppression sans impact sur les écrans confirmés.;Vérifier absence de consommateur externe.;ÉLEVÉE;Migration uniquement ou aucun usage métier confirmé;Candidate à archivage/suppression après vérification externe;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
fabricant_filtre;date_creation;DATETIME2(0);SUPPRIMER;;;SUPPRIMER_AVEC_TABLE;"Ne pas migrer cette colonne ; archiver le contenu brut avant retrait définitif.";"Copie technique de fabricant destinée au filtrage ; le filtre doit interroger fabricant directement.";Suppression sans impact sur les écrans confirmés.;Vérifier absence de consommateur externe.;ÉLEVÉE;Migration uniquement ou aucun usage métier confirmé;Candidate à archivage/suppression après vérification externe;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
contact;id;BIGINT;CONSERVER_ET_NORMALISER;contact;id;CONSERVER;Copie directe après dédoublonnage par matricule/email.;Donnée utilisée par les rôles de version.;Aucun impact écran si le mapping applicatif est adapté.;Valider en recette fonctionnelle.;ÉLEVÉE;Utilisée ou nécessaire à une table utilisée;Conserver;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
contact;matricule;NVARCHAR(50);CONSERVER_ET_NORMALISER;contact;matricule;CONSERVER;Copie directe après dédoublonnage par matricule/email.;Donnée utilisée par les rôles de version.;Aucun impact écran si le mapping applicatif est adapté.;Valider en recette fonctionnelle.;ÉLEVÉE;Utilisée ou nécessaire à une table utilisée;Conserver;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
contact;nom;NVARCHAR(150);CONSERVER_ET_NORMALISER;contact;nom;CONSERVER;Copie directe après dédoublonnage par matricule/email.;Donnée utilisée par les rôles de version.;Aucun impact écran si le mapping applicatif est adapté.;Valider en recette fonctionnelle.;ÉLEVÉE;Utilisée ou nécessaire à une table utilisée;Conserver;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
contact;prenom;NVARCHAR(150);CONSERVER_ET_NORMALISER;contact;prenom;CONSERVER;Copie directe après dédoublonnage par matricule/email.;Donnée utilisée par les rôles de version.;Aucun impact écran si le mapping applicatif est adapté.;Valider en recette fonctionnelle.;ÉLEVÉE;Utilisée ou nécessaire à une table utilisée;Conserver;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
contact;email;NVARCHAR(255);CONSERVER_ET_NORMALISER;contact;email;CONSERVER;Copie directe après dédoublonnage par matricule/email.;Donnée utilisée par les rôles de version.;Aucun impact écran si le mapping applicatif est adapté.;Valider en recette fonctionnelle.;ÉLEVÉE;Utilisée ou nécessaire à une table utilisée;Conserver;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
contact;telephone;NVARCHAR(50);CONSERVER_ET_NORMALISER;contact;telephone;CONSERVER;Copie directe après dédoublonnage par matricule/email.;Donnée utilisée par les rôles de version.;Aucun impact écran si le mapping applicatif est adapté.;Valider en recette fonctionnelle.;ÉLEVÉE;Utilisée ou nécessaire à une table utilisée;Conserver;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
contact;actif;BIT;CONSERVER_ET_NORMALISER;contact;est_actif;RENOMMER;Conversion directe.;Convention booléenne.;Aucun impact écran si le mapping applicatif est adapté.;Valider en recette fonctionnelle.;ÉLEVÉE;Utilisée ou nécessaire à une table utilisée;Conserver;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
contact;date_creation;DATETIME2(0);CONSERVER_ET_NORMALISER;contact;cree_le;RENOMMER;Copie directe.;Audit homogène.;Aucun impact écran si le mapping applicatif est adapté.;Valider en recette fonctionnelle.;ÉLEVÉE;Utilisée ou nécessaire à une table utilisée;Conserver;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
contact;date_modification;DATETIME2(0);CONSERVER_ET_NORMALISER;contact;modifie_le;RENOMMER;Copie directe.;Audit homogène.;Aucun impact écran si le mapping applicatif est adapté.;Valider en recette fonctionnelle.;ÉLEVÉE;Utilisée ou nécessaire à une table utilisée;Conserver;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
role_contact;id;BIGINT;CONSERVER;role_contact;id;CONSERVER;Copie directe avec contrôle d’unicité.;Clé/référence stable.;Aucun impact écran si le mapping applicatif est adapté.;Valider en recette fonctionnelle.;ÉLEVÉE;Utilisée ou nécessaire à une table utilisée;Conserver;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
role_contact;code;NVARCHAR(50);CONSERVER;role_contact;code;CONSERVER;Copie directe avec contrôle d’unicité.;Clé/référence stable.;Aucun impact écran si le mapping applicatif est adapté.;Valider en recette fonctionnelle.;ÉLEVÉE;Utilisée ou nécessaire à une table utilisée;Conserver;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
role_contact;libelle;NVARCHAR(150);CONSERVER;role_contact;libelle;CONSERVER;Copie directe après normalisation typographique.;Libellé de référentiel.;Aucun impact écran si le mapping applicatif est adapté.;Valider en recette fonctionnelle.;ÉLEVÉE;Utilisée ou nécessaire à une table utilisée;Conserver;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
role_contact;actif;BIT;CONSERVER;role_contact;est_actif;RENOMMER;Conversion BIT directe.;Convention booléenne explicite.;Aucun impact écran si le mapping applicatif est adapté.;Valider en recette fonctionnelle.;ÉLEVÉE;Utilisée ou nécessaire à une table utilisée;Conserver;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
statut;id;BIGINT;SCINDER;statut_application / statut_version;id;SCINDER_ET_RECODER;Créer une table de correspondance selon la portée réelle de chaque valeur et les décisions métier.;Évite de mélanger états application et états version.;Les listes et formulaires conservent leurs options après adaptation.;Faire valider les listes définitives de statuts.;MOYENNE;Utilisée ou nécessaire à une table utilisée;Conserver;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
